Entidad federativa,Total,Hombres,Mujeres
Estados Unidos Mexicanos,126014024,61473390,64540634
Aguascalientes,1425607,696683,728924
Baja California,3769020,1900589,1868431
Baja California Sur,798447,405879,392568
Campeche,928363,456939,471424
Coahuila de Zaragoza,3146771,1563669,1583102
Colima,731391,360622,370769
Chiapas,5543828,2705947,2837881
Chihuahua,3741869,1853822,1888047
Ciudad de Mexico,9209944,4404927,4805017
Durango,1832650,904866,927784
Guanajuato,6166934,2996454,3170480
Guerrero,3540685,1700612,1840073
Hidalgo,3082841,1481379,1601462
Jalisco,8348151,4098455,4249696
Mexico,16992418,8251295,8741123
Michoacan de Ocampo,4748846,2306341,2442505
Morelos,1971520,950847,1020673
Nayarit,1235456,612278,623178
Nuevo Leon,5784442,2890950,2893492
Oaxaca,4132148,1974843,2157305
Puebla,6583278,3160115,3423163
Queretaro,2368467,1156820,1211647
Quintana Roo,1857985,936779,921206
San Luis Potosi,2822255,1372451,1449804
Sinaloa,3026943,1494815,1532128
Sonora,2944840,1472197,1472643
Tabasco,2402598,1173671,1228927
Tamaulipas,3527735,1736140,1791595
Tlaxcala,1342977,649894,693083
Veracruz de Ignacio de la Llave,8062579,3871774,4190805
Yucatan,2320898,1140279,1180619
Zacatecas,1622138,791058,831080
